,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
968,servoshock-remote-servo-and-i-o-controller,us,Hardware,2013-10-14 07:26:12,2.0,united states,False,1,60.527879999999996,0
975,usmrtgo-affordable-car-starter-for-your-smartphone,us,Hardware,2017-08-23 22:38:54,1.0,united states,False,0,95.43055555555556,6
976,on-the-down-lola-a-queer-culture-podcast,us,Web,2019-01-28 17:00:26,1.0,united states,False,0,27.454545454545453,1
978,the-arduino-and-raspberry-pi-compatible-dc-crank-s,ca,DIY Electronics,2017-06-26 13:49:59,31.0,united states,False,1,27.747408288,0
992,os-power-box-the-all-in-one-usb-c-power-dock,us,Gadgets,2017-08-23 11:53:46,1.0,united states,False,1,156.95348837209303,6
1007,chicas-poderosas-stanford,us,Web,2015-05-19 17:14:57,1.0,united states,False,1,98.86111111111111,1
1012,firecricket-bring-your-toys-and-costume-props-to-l,us,DIY Electronics,2017-05-09 14:00:06,14.0,united states,False,1,54.869565217391305,0
1013,moovygo-8-in-1-usb-c-hub-tech-solutions-for-iphone,fr,Gadgets,2018-11-06 14:51:30,2.0,france,False,1,98.42774647921875,6
1054,basketball-diaries,us,Web,2016-03-30 18:07:17,1.0,united states,False,0,11.96551724137931,1
1070,tether-0,us,Wearables,2019-05-29 15:10:29,1.0,united states,False,0,43.470588235294116,6
1074,where-are-the-women-a-feminist-protest-in-film-cri,us,Web,2014-11-17 22:12:15,2.0,united states,False,1,61.84971098265896,1
1077,usb-meter-pro-monitor-and-accelerate-your-usb-char,au,Hardware,2014-08-18 14:03:23,8.0,united states,False,1,35.91463536670103,6
1080,dockcase-the-ultimate-dock-and-case-for-macbook-pr,us,Technology,2017-08-17 17:52:26,2.0,united states,False,1,86.5536756126021,6
1086,new-generation-traveller,nl,Web,2015-03-17 15:32:10,1.0,netherlands,False,1,56.45557086979167,1
1096,audio-injector-ultra-2-sound-card,au,Technology,2018-06-01 00:30:47,7.0,united states,False,1,47.16442542523711,0
1106,the-arduino-dsp-shield,us,Hardware,2013-01-08 09:49:38,4.0,united states,False,1,34.62114537444934,0
1120,vga-duiono-iii-graphic-card-for-arduino,us,Hardware,2016-05-16 15:45:02,16.0,united states,False,0,49.25,0
1123,seekers-collective-website,us,Web,2017-11-07 16:19:31,1.0,united states,False,1,118.57142857142857,1
1131,get-your-macbook-ports-back,us,Hardware,2015-05-05 17:08:49,1.0,united states,False,1,110.17094400798105,6
1142,renegade-inc,gb,Web,2015-06-24 11:12:23,1.0,united kingdom,False,1,122.67708333333333,1
1159,wireless-kit,cn,Hardware,2015-06-06 03:29:21,1.0,united states,False,0,31.487410584000003,0
1161,the-nrf24l01-arduino-wireless-transceiver-shield-m,ca,DIY Electronics,2018-11-15 16:55:11,31.0,united states,False,1,55.19098652935,0
1167,hey-you-come-see-what-us-aussies-are-doing-with-lu,au,Gadgets,2018-11-13 05:58:10,1.0,australia,False,1,176.43556906258846,0
1168,back-the-bus,us,Web,2015-06-25 00:30:10,1.0,united states,False,1,84.03361344537815,1
1200,ashimacore-an-embedded-arm-imu-sense-and-control-b,us,Hardware,2013-04-30 05:27:12,1.0,united states,False,1,232.625,0
1205,makerbloks-kids-electronics-powered-by-imagination,ca,Hardware,2015-05-12 12:30:49,1.0,canada,False,1,108.6459263620879,6
1208,64-i-o-arduino-shield,gb,Hardware,2013-12-11 06:38:46,3.0,united states,False,1,35.7588355040171,0
