,project_slug,location,Category,launch_date,Creator_nb_projects,top_country,Staff_recommended,pledged_binary,avg_pledge,labels
2249,interface-zero-30,us,Tabletop Games,2019-01-29 16:59:49,8.0,united states,False,1,45.904785932721715,6
2251,divine-slice-of-life,gb,Video Games,2015-05-08 15:53:46,3.0,united states,False,1,33.42536918072131,1
2256,the-great-collector-play-your-part-in-the-history,us,Tabletop Games,2019-04-23 12:12:53,1.0,united states,False,0,56.94444444444444,1
2259,tome-of-delving,us,Tabletop Games,2019-06-04 16:05:16,2.0,united states,False,1,39.456896551724135,6
2284,bicycle-grid-blackout-playing-cards-deck-printed-b,us,Playing Cards,2018-10-05 14:59:05,21.0,united states,False,1,31.310344827586206,5
2292,technique-playing-cards-signature-edition,us,Playing Cards,2018-10-05 14:37:16,2.0,united states,False,1,56.6241134751773,5
2301,magician-knows-v2,hk,Playing Cards,2019-05-02 07:23:51,1.0,united states,False,1,140.4623374368,5
2308,bellevue-playing-cards-by-eight-high-studios,us,Playing Cards,2019-07-07 19:00:37,1.0,united states,False,0,33.57142857142857,5
2309,jupiter-creek-a-game-for-losers,gb,Video Games,2019-06-06 19:02:23,1.0,united states,False,0,40.87700427428571,1
2314,club-life-visual-novel,gb,Video Games,2015-09-25 21:49:56,9.0,united states,False,1,25.9966038885,1
2318,king-for-a-day-revised,us,Tabletop Games,2019-06-12 13:35:17,21.0,united states,False,1,43.015306122448976,6
2323,dark-naga-haunting-of-hastur-hardback-5e-and-osr,us,Tabletop Games,2019-01-18 14:00:30,7.0,united states,False,1,114.2803738317757,6
2324,year-of-the-rat-lunar-zodiac-playing-cards-1-of-12,mn,Playing Cards,2019-07-02 22:12:33,4.0,united states,False,1,64.88513513513513,5
2328,from-the-shroud-issue-2,gb,Tabletop Games,2019-02-11 07:20:26,7.0,united states,False,1,14.458699388297873,6
2332,nude-figure-playing-cards,us,Playing Cards,2019-04-23 04:01:45,2.0,united states,False,0,23.0,5
2354,air-deck-20-the-ultimate-travel-playing-cards,hk,Playing Cards,2019-01-06 07:43:28,5.0,united states,False,1,20.144658504011442,5
2376,old-school-essentials,de,Tabletop Games,2019-04-12 18:00:04,1.0,united states,False,1,60.715450366465255,6
2378,love-is-a-game-0,us,Video Games,2016-07-07 05:10:11,1.0,united states,False,1,47.24352331606217,1
2386,swords-of-edo-visual-novel-game,gb,Video Games,2013-09-03 22:47:07,12.0,united states,False,1,58.058198721100915,1
2388,eddie-jonas-forgotten-dungeon-mega-adventure-for-a,us,Tabletop Games,2018-07-16 23:00:32,4.0,united states,False,1,51.26923076923077,6
2421,my-girlfriend-visual-novel,gb,Video Games,2018-02-04 01:03:43,14.0,united states,False,1,35.80796664630508,1
2423,ordinary-towns-small-settlements-for-any-campaign,us,Tabletop Games,2019-02-01 16:54:54,5.0,united states,False,1,30.33610271903323,6
2425,hey-come-here,us,Video Games,2014-01-16 20:50:21,1.0,united states,False,1,15.714285714285714,1
2426,circles-a-kinetic-novel,us,Video Games,2015-01-10 01:05:44,1.0,united states,False,1,40.84847826086956,1
2427,prototype-playing-cards,us,Playing Cards,2019-02-14 07:59:59,1.0,united states,False,1,44.50335570469799,5
2442,grand-old-academy-a-satirical-dating-sim,us,Video Games,2016-11-01 09:13:12,1.0,united states,False,1,30.52438596491228,1
2444,53-a-collection-of-art,gb,Playing Cards,2019-04-27 17:34:23,2.0,united states,False,1,37.44785053710526,5
2452,juggler-sistine-playing-cards,es,Playing Cards,2019-05-14 16:47:36,3.0,spain,False,1,41.72573504076923,5
2463,paisley-playing-cards-with-hidden-marking-system,nl,Playing Cards,2018-10-01 13:55:10,7.0,united states,False,1,35.272719085298505,5
2470,creature-feature-quarterly-vol-1-for-the-osr,vn,Tabletop Games,2019-02-02 04:27:58,6.0,united states,False,1,3.0317460317460316,6
2475,the-cfq-vol-1-for-the-black-hack-quickstarter,vn,Tabletop Games,2018-11-21 16:33:38,6.0,united states,False,1,3.135135135135135,6
2483,midnight-legion-portal-of-life,us,Tabletop Games,2018-08-21 05:09:04,13.0,united states,False,1,36.791666666666664,6
2490,caramel-mokaccino-otome-visual-novel,cl,Video Games,2016-05-16 01:17:15,1.0,united states,False,1,30.346226038199056,1
2501,mizuchi-visual-novel,us,Video Games,2018-08-13 15:31:47,1.0,united states,False,1,32.46223564954683,1
2506,neoclassical-geek-revival,ca,Tabletop Games,2018-07-06 14:18:57,3.0,united states,False,1,44.825273495510196,6
2508,lona-realm-of-colors,se,Video Games,2017-08-15 16:35:16,1.0,united states,False,1,28.62198618188731,1
2519,eastern-fantasy-adventures-for-dandd-5e-and-sotdl,us,Tabletop Games,2018-09-04 14:00:14,8.0,united states,False,1,43.90425531914894,6
2520,brutal-games-a-5e-adventure-in-the-world-of-darknoth,us,Tabletop Games,2019-05-28 13:00:47,16.0,united states,False,1,29.30851063829787,6
2526,mall-kids-rpg-about-teens-and-malls,us,Tabletop Games,2019-02-08 23:14:17,3.0,united states,False,1,8.955357142857142,6
2539,saintly,us,Video Games,2013-07-02 21:24:14,1.0,united states,False,1,29.791615384615383,1
2540,original-blackcat-playing-cards-0,it,Playing Cards,2018-10-16 14:01:04,1.0,united states,False,1,37.790139408716215,5
2542,wiseguys-the-savage-guide-to-organized-crime,us,Tabletop Games,2019-03-26 16:00:02,1.0,united states,False,1,29.130718954248366,6
2549,aqua-species-playing-cards-1-of-5-element-series,us,Playing Cards,2019-07-04 15:00:06,6.0,united states,False,0,32.592592592592595,5
2572,cafe-milde,us,Video Games,2016-08-06 09:26:45,1.0,united states,False,1,32.81967213114754,1
2577,pinocchio-playing-cards,us,Playing Cards,2018-10-22 15:00:01,8.0,united states,False,1,60.40406320541761,5
2578,gamma-zine-issue-1,us,Tabletop Games,2019-02-01 14:17:12,12.0,united states,False,1,4.482371794871795,6
2595,jinkies-the-roleplaying-game,us,Tabletop Games,2019-02-15 20:16:24,1.0,united states,False,1,18.29268292682927,6
2611,pathfinder-rpg-dark-fantasy-adventures-collected-l,us,Tabletop Games,2018-06-24 19:06:40,6.0,united states,False,1,59.42307692307692,6
2614,when-our-journey-ends-a-visual-novel,sg,Video Games,2016-11-04 13:08:43,3.0,united states,False,1,12.6154155294,1
2615,gamble-at-the-gallows,us,Tabletop Games,2019-01-14 17:27:05,7.0,united states,False,1,7.657407407407407,6
2654,broadsword-magazine,us,Tabletop Games,2019-03-26 15:19:19,1.0,united states,False,1,58.29839883551674,6
2658,the-jack-hack-complete-a-dark-victorian-role-playi,gb,Tabletop Games,2018-08-31 17:30:43,5.0,united states,False,1,55.21055988724138,6
2659,starfighter-visual-novel,us,Video Games,2014-03-26 16:26:20,1.0,united states,False,1,54.11300831443688,1
2662,perfect-murder-horror-visual-novel,fr,Video Games,2019-06-19 11:37:22,2.0,united states,False,1,13.374388908181817,1
2668,retro-1e-and-5e-fantasy-mini-adventure-set-2,us,Tabletop Games,2019-01-01 19:30:30,52.0,united states,False,1,27.041322314049587,6
2670,you-are-a-dark-god-desolation-road,us,Video Games,2015-07-22 00:38:09,3.0,united states,False,1,22.919354838709676,1
2680,create-your-own-fantasy-rpg-adventure-rpg-resource,us,Tabletop Games,2018-08-14 18:00:16,6.0,united states,False,1,40.223214285714285,6
2712,legend-of-cenama,no,Games,2019-05-28 11:23:34,2.0,united states,False,1,27.226173769982225,1
2717,composers-playing-cards-ludwig-van-beethoven-1-of,it,Playing Cards,2019-04-20 20:00:50,2.0,united states,False,1,44.35718548970588,5
2724,maya-playing-cardas-relaunch,mx,Playing Cards,2019-05-27 10:20:05,3.0,united states,False,1,46.065791808892556,5
2728,crystal-chameleon-visual-novel,nl,Video Games,2017-10-25 07:51:45,4.0,united states,False,1,14.557304550697674,1
2743,seven-kingdoms-the-princess-problem,us,Video Games,2015-08-05 22:01:31,1.0,united states,False,1,37.86904761904762,1
2752,agenda-playing-cards-facade,sg,Playing Cards,2019-01-24 15:46:49,4.0,united states,False,1,44.16178327413699,5
2753,mystic-destinies-serendipity-of-aeons-deluxe-editi,us,Video Games,2016-09-09 15:59:55,4.0,united states,False,1,52.0398406374502,1
2757,candle-a-dynamic-graphic-adventure,es,Video Games,2013-07-19 18:52:04,1.0,united states,False,1,31.675402298850575,1
